COD_ACIDEN;Final de s;Pico;Pista_Molhada;Intersecao;Centro;Vei_Pesado;MOTO;NATUREZA;_GRAVIDADE
1;1;0;0;1;0;0;0;Choque c/ obstaculo fixo;ILESO
2;0;0;0;1;0;0;0;Colisao Traseira;ILESO
3;1;0;1;1;0;0;1;Colisao Transversal;ILESO
4;0;1;0;0;1;0;1;Colisao Lateral;FERIDO
5;0;1;0;1;1;0;1;Colisao Transversal;FERIDO
6;0;1;0;1;1;1;0;Colisao Traseira;ILESO
7;0;0;0;1;1;0;1;Colisao Lateral;FERIDO
8;0;0;0;1;1;0;0;Colisao Lateral;ILESO
9;1;0;0;1;1;0;0;Atropelamento;FERIDO
10;0;0;0;1;1;0;0;Colisao Traseira;FERIDO
11;0;0;0;0;1;0;0;Colisao Lateral;ILESO
12;0;0;1;0;1;0;0;Colisao Traseira;ILESO
13;0;0;0;1;1;0;0;Engavetamento;ILESO
14;0;1;0;1;1;1;1;Colisao Lateral;ILESO
15;0;0;1;1;1;0;0;Colisao Traseira;ILESO
16;0;0;0;1;1;0;1;Colisao Traseira;ILESO
17;0;0;0;1;1;0;1;Queda;FERIDO
18;0;0;0;0;1;1;0;Colisao Traseira;ILESO
19;0;0;0;0;1;1;0;Colisao Traseira;ILESO
20;0;0;0;0;1;0;1;Colisao Traseira;ILESO
21;0;0;0;0;1;0;0;Colisao Lateral;ILESO
22;0;0;0;0;1;0;1;Colisao Lateral;ILESO
23;1;0;0;0;1;1;0;Colisao Traseira;ILESO
24;0;0;0;0;1;0;0;Choque c/ obstaculo fixo;ILESO
25;0;0;0;0;1;1;0;Atropelamento;FERIDO
26;0;1;0;0;1;0;0;Colisao Traseira;ILESO
27;0;0;0;1;1;0;1;Colisao Transversal;FERIDO
28;0;1;0;0;1;0;0;Colisao Traseira;ILESO
29;0;0;0;1;1;0;0;Colisao Transversal;ILESO
30;0;0;0;1;1;0;1;Colisao Transversal;ILESO
31;0;0;0;0;1;1;0;Colisao Traseira;ILESO
32;0;0;0;1;1;0;1;Colisao Traseira;FERIDO
33;0;0;0;0;1;0;1;Colisao Transversal;ILESO
34;0;0;0;0;1;0;0;Engavetamento;ILESO
35;0;0;1;0;1;0;1;Colisao Traseira;FERIDO
36;0;0;0;0;1;1;0;Colisao Traseira;ILESO
37;1;0;0;1;1;0;0;Colisao Traseira;ILESO
38;1;0;0;0;1;0;0;Capotamento;ILESO
39;0;1;0;0;1;0;1;Colisao Lateral;FERIDO
40;1;0;1;0;1;0;0;Colisao Traseira;FERIDO
41;0;1;0;0;1;0;0;Colisao Traseira;ILESO
42;1;0;0;0;1;0;1;Colisao Lateral;FERIDO
43;1;0;0;1;1;0;0;Colisao Frontal;ILESO
44;1;0;0;0;1;0;0;Colisao Traseira;ILESO
45;0;1;0;0;1;0;1;Colisao Lateral;FERIDO
46;0;0;0;0;1;0;0;Colisao Traseira;ILESO
47;1;0;0;1;1;0;1;Colisao Transversal;FERIDO
48;0;0;0;1;1;0;0;Colisao Lateral;ILESO
49;0;0;0;1;1;0;1;Colisao Traseira;FERIDO
50;0;0;0;0;1;0;0;Colisao Transversal;ILESO
51;0;0;0;0;1;0;0;Choque c/ obstaculo fixo;FERIDO
52;0;0;0;0;1;1;0;Colisao Lateral;FERIDO
53;0;0;0;1;1;0;1;Colisao Lateral;ILESO
54;0;0;0;0;1;0;0;Engavetamento;FERIDO
55;0;0;0;1;1;0;0;Colisao Transversal;ILESO
56;0;0;0;0;1;0;0;Colisao Traseira;FERIDO
57;0;0;0;1;1;1;0;Colisao Lateral;FERIDO
58;0;0;0;0;1;0;0;Colisao Traseira;ILESO
59;1;0;0;0;1;0;0;Colisao Lateral;ILESO
60;0;1;0;0;1;0;0;Colisao Traseira;ILESO
61;1;0;0;1;1;0;0;Engavetamento;ILESO
62;0;0;0;1;1;0;0;Colisao Traseira;ILESO
63;0;1;0;1;1;0;1;Colisao Lateral;FERIDO
64;1;1;1;0;1;0;1;Queda;FERIDO
